time,supply,liquidity,ratio
2024-03-10 12:00:00,858710114.1135572,92980908.6367311,0.1082797408677489
2024-03-12 01:00:00,902303639.140693,90407316.25957862,0.100196111749785
2024-03-12 07:00:00,912452464.5736928,89676163.36720966,0.0982803673056078
2024-03-12 16:00:00,945569502.4276928,90840001.83188292,0.0960690902135239
2024-03-14 13:00:00,1035952537.0362008,92549088.74674906,0.089337190110588
2024-03-15 02:00:00,1062426769.9238513,87478484.69968854,0.0823383664419134
2024-03-16 22:00:00,1097935980.801851,85808485.46973306,0.07815436142922
2024-03-18 00:00:00,1112898300.1738508,87416595.83744979,0.0785485931857331
2024-03-19 03:00:00,1154635204.1579506,85749867.11532769,0.0742657653313655
2024-03-21 00:00:00,1197343263.4401252,89625030.81269678,0.0748532468084317
2024-03-21 19:00:00,1224974897.60146,89610794.07079506,0.07315316766593
2024-03-23 11:00:00,1281759246.0170598,88292691.21850695,0.0688839901041227
2024-03-24 16:00:00,1303237004.9770598,89515339.11668542,0.0686869224667704
2024-03-25 17:00:00,1320329247.9080598,91579017.41008852,0.0693607428262208
2024-03-26 17:00:00,1336559796.39406,88617160.78716728,0.0663024288372655
2024-03-27 17:00:00,1352642467.08306,89804056.2894559,0.0663915694463712
2024-03-28 08:00:00,1382612111.602062,90349971.00467956,0.0653473018545954
2024-03-28 17:00:00,1396046874.0946622,85810006.1697889,0.0614664219103937
2024-03-28 21:00:00,1398044746.7756622,86247209.0801632,0.0616913080064689
2024-03-29 13:00:00,1410032116.1792903,85480757.3052218,0.0606232697286681
2024-03-30 13:00:00,1527932791.4047005,84599858.33067933,0.0553688348117083
2024-03-31 18:00:00,1537422906.8287008,82408761.13328412,0.0536018819332357
2024-04-01 23:00:00,1558500916.5547006,81171264.16695161,0.0520829107668366
2024-04-02 20:00:00,1773196126.3661704,92903874.75642286,0.0523934568630102
2024-04-04 14:00:00,1992346366.3878844,91173905.78048004,0.0457620759716484
2024-04-06 07:00:00,2024950282.26186,109100917.5413127,0.0538783191355431
2024-04-06 21:00:00,2038936276.677712,108622911.08617432,0.0532743040224714
2024-04-08 06:00:00,2084040100.5107772,107115197.1449065,0.0513978579964241
2024-04-08 12:00:00,2126036512.6378772,119100733.51373376,0.056020079055914
2024-04-08 21:00:00,2196072022.193977,123362156.09240364,0.0561740028768087
2024-04-10 01:00:00,2286375928.2219777,117514470.53673834,0.0513977028388873
2024-04-10 02:00:00,2288873363.593978,118562331.19344345,0.0517994280851245
2024-04-10 17:00:00,2325535550.9379787,122089333.31552628,0.0524994482523747
2024-04-10 21:00:00,2325835138.751979,122656839.08925185,0.0527366867262433
2024-04-11 22:00:00,2359353782.9116173,121570476.92656922,0.0515270231226375
2024-04-12 07:00:00,2369843044.965617,117345837.44618264,0.0495162908343093
2024-05-01 05:00:00,2332068008.602326,71425886.2604045,0.0306277029644654
2024-05-01 10:00:00,2323067924.271326,70143419.60697083,0.030194304210443
2024-05-01 14:00:00,2314065713.641326,73508525.07838051,0.0317659626712632
2024-05-02 01:00:00,2313565150.127326,71896365.65229915,0.0310760065037902
2024-05-15 13:00:00,2315457948.0560265,98384316.99568208,0.0424902197331123
2024-05-17 19:00:00,2385283982.3770266,114997977.55190614,0.0482114408185922
2024-05-18 06:00:00,2413591161.941279,114058409.73254268,0.0472567233138209
2024-05-19 02:00:00,2439366372.599778,113453101.9534795,0.0465092506102581
2024-05-19 06:00:00,2443861849.7677774,112747799.92700408,0.0461350955405755
2024-05-19 15:00:00,2446858834.913778,109831110.78666212,0.0448865742557364
2024-05-19 21:00:00,2448652487.1097775,110194654.88409264,0.0450021615824133
2024-05-20 06:00:00,2454147102.903938,110554415.9251605,0.0450479988727423
2024-05-20 10:00:00,2458143070.192938,110405859.20251074,0.0449143341334664
2024-05-21 02:00:00,2502617088.4639373,113293704.72900295,0.0452700915578502
2024-05-22 16:00:00,2556734133.7895055,105455693.6612414,0.0412462493724126
2024-05-23 02:00:00,2569720915.402505,109908235.28946848,0.0427704948933153
